GeneID,Symbol
64105,CENPK
29946,SERTAD3
1871,E2F3
10524,KAT5
9318,COPS2
466,ATF1
10179,RBM7
84717,HDGFRP2
7703,PCGF2
3725,JUN
5433,POLR2D
4792,NFKBIA
129025,ZNF280A
25885,POLR1A
9013,TAF1C
1869,E2F1
10553,HTATIP2
9513,FXR2
6650,SOLH
694,BTG1
162989,DEDD2
8161,COIL
6941,TCF19
3621,ING1
6886,TAL1
26145,IRF2BP1
4800,NFYA
148479,PHF13
2305,FOXM1
1407,CRY1
7690,ZNF131
10614,HEXIM1
23394,ADNP
80155,NAA15
22926,ATF6
26292,MYCBP
8554,PIAS1
8458,TTF2
9337,CNOT8
10140,TOB1
9735,KNTC1
9700,ESPL1
661,POLR3D
5981,RFC1
55718,POLR3E
2909,ARHGAP35
51274,KLF3
7030,TFE3
11143,KAT7
8085,MLL2
22823,MTF2
51588,PIAS4
9412,MED21
51497,TH1L
23152,CIC
9913,SUPT7L
1105,CHD1
10782,ZNF274
90993,CREB3L1
10629,TAF6L
29115,SAP30BP
25942,SIN3A
7728,ZNF175
7023,TFAP4
6666,SOX12
23119,HIC2
6884,TAF13
405,ARNT
7391,USF1
7538,ZFP36
90390,MED30
10363,HMG20A
55922,NKRF
116113,FOXP4
55769,ZNF83
5925,RB1
30851,TAX1BP3
4783,NFIL3
3720,JARID2
6668,SP2
9682,KDM4A
54620,FBXL19
7745,ZNF192
4208,MEF2C
57634,EP400
55625,ZDHHC7
11128,POLR3A
147807,ZNF524
4798,NFRKB
7517,XRCC3
2966,GTF2H2
221504,ZBTB9
91012,CERS5
3216,HOXB6
51616,TAF9B
8543,LMO4
57680,CHD8
26064,RAI14
6497,SKI
22828,SCAF8
6667,SP1
988,CDC5L
11218,DDX20
8899,PRPF4B
29950,SERTAD1
9442,MED27
10438,C1D
9925,ZBTB5
2033,EP300
10009,ZBTB33
6018,RLF
6615,SNAI1
11244,ZHX1
25988,HINFP
9604,RNF14
11108,PRDM4
9325,TRIP4
9191,DEDD
677,ZFP36L1
56160,NDNL2
5934,RBL2
147912,SIX5
57621,ZBTB2
22850,ADNP2
1601,DAB2
23309,SIN3B
10127,ZNF263
8463,TEAD2
4088,SMAD3
140461,ASB8
7050,TGIF1
23429,RYBP
64324,NSD1
51341,ZBTB7A
7580,ZNF32
54851,ANKRD49
5326,PLAGL2
57658,CALCOCO1
8341,HIST1H2BN
29890,RBM15B
3217,HOXB7
10608,MXD4
3398,ID2
161882,ZFPM1
23410,SIRT3
7705,ZNF146
2145,EZH1
171568,POLR3H
83933,HDAC10
55703,POLR3B
50862,RNF141
221527,ZBTB12
64429,ZDHHC6
7716,VEZF1
9640,ZNF592
473,RERE
29982,NRBF2
2965,GTF2H1
23211,ZC3H4
84878,ZBTB45
4303,FOXO4
5813,PURA
3660,IRF2
55311,ZNF444
84515,MCM8
56998,CTNNBIP1
64843,ISL2
55893,ZNF395
51592,TRIM33
3297,HSF1
8202,NCOA3
10138,YAF2
6737,TRIM21
9794,MAML1
668,FOXL2
6894,TARBP1
57472,CNOT6
7746,ZNF193
8928,FOXH1
6938,TCF12
10014,HDAC5
3008,HIST1H1E
10488,CREB3
7004,TEAD4
9441,MED26
3225,HOXC9
55662,HIF1AN
4790,NFKB1
114034,TOE1
6621,SNAPC4
7026,NR2F2
79753,SNIP1
85403,EAF1
4299,AFF1
3215,HOXB5
4335,MNT
6829,SUPT5H
23294,ANKS1A
148156,ZNF558
55636,CHD7
9329,GTF3C4
8345,HIST1H2BH
1870,E2F2
57594,HOMEZ
58492,ZNF77
9440,MED17
9792,SERTAD2
3064,HTT
10781,ZNF266
253461,ZBTB38
57541,ZNF398
79797,ZNF408
4801,NFYB
63925,ZNF335
23411,SIRT1
57473,ZNF512B
5989,RFX1
7490,WT1
115509,ZNF689
1875,E2F5
56916,SMARCAD1
51665,ASB1
4005,LMO2
90592,ZNF700
84662,GLIS2
8850,KAT2B
10522,DEAF1
7760,ZNF213
84922,FIZ1
3508,IGHMBP2
51317,PHF21A
7675,ZNF121
23466,CBX6
163227,ZNF100
1052,CEBPD
4791,NFKB2
11177,BAZ1A
23054,NCOA6
3516,RBPJ
51003,MED31
60436,TGIF2
51720,UIMC1
79722,ANKRD55
7832,BTG2
121274,ZNF641
25959,KANK2
6670,SP3
22955,SCMH1
5994,RFXAP
7090,TLE3
199692,ZNF627
64750,SMURF2
25819,CCRN4L
2186,BPTF
9880,ZBTB39
58487,CREBZF
25799,ZNF324
2353,FOS
9831,ZNF623
140467,ZNF358
6924,TCEB3
57684,ZBTB26
2551,GABPA
9603,NFE2L3
9572,NR1D1
10379,IRF9
29117,BRD7
140883,ZNF280B
30832,ZNF354C
246175,CNOT6L
6874,TAF4
687,KLF9
9443,MED7
57459,GATAD2B
51201,ZDHHC2
25888,ZNF473
3171,FOXA3
57763,ANKRA2
2309,FOXO3
4692,NDN
6895,TARBP2
23528,ZNF281
8544,PIR
170959,ZNF431
5253,PHF2
171392,ZNF675
84108,PCGF6
57801,HES4
84146,ZNF644
7581,ZNF33A
7574,ZNF26
403341,ZBTB34
26205,GMEB2
7587,ZNF37A
3299,HSF4
1389,CREBL2
54738,FEV
353274,ZNF445
3298,HSF2
23462,HEY1
22847,ZNF507
79733,E2F8
1628,DBP
26048,ZNF500
7738,ZNF184
126295,ZNF57
51132,RLIM
9753,ZSCAN12
9841,ZBTB24
51621,KLF13
117608,ZNF354B
2290,FOXG1
57496,MKL2
127428,TCEANC2
9096,TBX18
6049,RNF6
2004,ELK3
6617,SNAPC1
10194,TSHZ1
57567,ZNF319
147929,ZNF565
168374,ZNF92
6913,TBX15
23314,SATB2
7552,ZNF711
7753,ZNF202
5978,REST
7693,ZNF134
9931,HELZ
84527,ZNF559
5990,RFX2
80314,EPC1
23414,ZFPM2
6256,RXRA
113835,ZNF257
353088,ZNF429
80264,ZNF430
7003,TEAD1
92595,ZNF764
22936,ELL2
7743,ZNF189
7627,ZNF75A
90233,ZNF551
2113,ETS1
83990,BRIP1
65251,ZNF649
80317,ZKSCAN3
162979,ZNF296
79088,ZNF426
81856,ZNF611
54503,ZDHHC13
84547,PGBD1
286075,ZNF707
10773,ZBTB6
6877,TAF5
1387,CREBBP
55870,ASH1L
7546,ZIC2
84105,PCBD2
7541,ZFP161
3007,HIST1H1D
9575,CLOCK
6925,TCF4
324,APC
7562,ZNF708
23635,SSBP2
7767,ZNF224
90075,ZNF30
55663,ZNF446
10621,POLR3F
127343,DMBX1
7554,ZNF8
11016,ATF7
7699,ZNF140
6939,TCF15
147687,ZNF417
5013,OTX1
55422,ZNF331
8344,HIST1H2BE
282890,ZNF311
170463,SSBP4
9321,TRIP11
80818,ZNF436
90987,ZNF251
93474,ZNF670
148206,ZNF714
7637,ZNF84
64895,PAPOLG
10210,TOPORS
115950,ZNF653
146542,ZNF688
4520,MTF1
7421,VDR
7770,ZNF227
7762,ZNF215
23660,ZKSCAN5
57343,ZNF304
79603,CERS4
140685,ZBTB46
7633,ZNF79
255877,BCL6B
2306,FOXD2
94039,ZNF101
472,ATM
7561,ZNF14
5457,POU4F1
10499,NCOA2
6758,SSX5
387032,ZKSCAN4
7564,ZNF16
4092,SMAD7
9464,HAND2
84458,LCOR
92822,ZNF276
7626,ZNF75D
4831,NME2
10793,ZNF273
126068,ZNF441
79149,ZSCAN5A
23409,SIRT4
146540,ZNF785
5966,REL
257,ALX3
5971,RELB
7594,ZNF43
10725,NFAT5
252969,NEIL2
4087,SMAD2
51222,ZNF219
286128,ZFP41
80778,ZNF34
22835,ZFP30
84671,ZNF347
7733,ZNF180
58506,SCAF1
23522,KAT6B
122953,JDP2
283248,RCOR2
9338,TCEAL1
2553,GABPB2
5916,RARG
7673,ZNF222
169270,ZNF596
3223,HOXC6
55509,BATF3
168620,BHLHA15
9975,NR1D2
7110,TMF1
3170,FOXA2
7776,ZNF236
5083,PAX9
10224,ZNF443
860,RUNX2
11059,WWP1
675,BRCA2
342945,ZSCAN22
199777,ZNF626
199704,ZNF585A
162655,ZNF519
3665,IRF7
10538,BATF
79842,ZBTB3
2672,GFI1
10620,ARID3B
147949,ZNF583
7752,ZNF200
3221,HOXC4
115560,ZNF501
79898,ZNF613
55553,SOX6
22927,HABP4
7565,ZNF17
136051,ZNF786
23373,CRTC1
2019,EN1
51804,SIX4
80764,THAP7
84456,L3MBTL3
3009,HIST1H1B
65249,ZSWIM4
6474,SHOX2
3164,NR4A1
63926,ANKRD5
89884,LHX4
197320,ZNF778
1748,DLX4
65988,ZNF747
8187,ZNF239
142689,ASB12
9095,TBX19
56980,PRDM10
27022,FOXD3
7621,ZNF70
6940,ZNF354A
6887,TAL2
3551,IKBKB
284406,ZFP82
10626,TRIM16
79891,ZNF671
80714,PBX4
60529,ALX4
29841,GRHL1
10472,ZNF238
7757,ZNF208
10260,DENND4A
3169,FOXA1
146198,ZFP90
6665,SOX15
4205,MEF2A
7644,ZNF91
1466,CSRP2
10520,ZNF211
133746,JMY
333929,SNAI3
430,ASCL2
6660,SOX5
148254,ZNF555
26152,ZNF337
28999,KLF15
65986,ZBTB10
84250,ANKRD32
56979,PRDM9
10265,IRX5
579,NKX3-2
163087,ZNF383
3224,HOXC8
163732,CITED4
55659,ZNF416
80325,ABTB1
7597,ZBTB25
10794,ZNF460
5463,POU6F1
339327,ZNF546
7569,ZNF182
7773,ZNF230
4807,NHLH1
4901,NRL
51276,ZNF571
340481,ZDHHC21
7549,ZNF2
2298,FOXD4
7566,ZNF18
219749,ZNF25
6927,HNF1A
10365,KLF2
115196,ZNF554
5324,PLAG1
27287,VENTX
7772,ZNF229
463,ZFHX3
170082,TCEANC
147948,ZNF582
26508,HEYL
7766,ZNF223
85508,SCRT2
5241,PGR
64783,RBM15
79744,ZNF419
688,KLF5
2957,GTF2A1
84159,ARID5B
7041,TGFB1I1
79230,ZNF557
323,APBB2
7567,ZNF19
147837,ZNF563
9480,ONECUT2
3226,HOXC10
29842,TFCP2L1
7718,ZNF165
6495,SIX1
3090,HIC1
389692,MAFA
8022,LHX3
274,BIN1
322,APBB1
2975,GTF3C1
148103,ZNF599
50943,FOXP3
3018,HIST1H2BB
3222,HOXC5
146434,ZNF597
26974,ZNF285
79727,LIN28A
140628,GATA5
552900,BOLA2
3010,HIST1H1T
84905,ZNF341
1960,EGR3
1112,FOXN3
200350,FOXD4L1
2354,FOSB
252884,ZNF396
7761,ZNF214
7291,TWIST1
201798,TIGD4
7643,ZNF90
148268,ZNF570
23650,TRIM29
2637,GBX2
284370,ZNF615
55713,ZNF334
3229,HOXC13
84667,HES7
10636,RGS14
9310,ZNF235
9422,ZNF264
5460,POU5F1
85441,PRIC285
347853,TBX10
63948,DMRTB1
3097,HIVEP2
7711,ZNF155
22806,IKZF3
429,ASCL1
3228,HOXC12
4853,NOTCH2
1959,EGR2
79190,IRX6
10172,ZNF256
5454,POU3F2
56917,MEIS3
26298,EHF
55900,ZNF302
864,RUNX3
6911,TBX6
2308,FOXO1
6689,SPIB
4854,NOTCH3
284459,HKR1
59335,PRDM12
92283,ZNF461
56033,BARX1
80095,ZNF606
339416,ANKRD45
8433,UTF1
163255,ZNF540
284306,ZNF547
51270,TFDP3
256051,ZNF549
3234,HOXD8
55809,TRERF1
147686,ZNF418
11166,SOX21
7710,ZNF154
9242,MSC
6926,TBX3
148979,GLIS1
222696,ZSCAN23
147741,ZNF560
58491,ZNF71
7539,ZFP37
7508,XPC
56938,ARNTL2
2020,EN2
83482,SCRT1
59269,HIVEP3
6659,SOX4
4332,MNDA
2735,GLI1
349075,ZNF713
65982,ZSCAN18
8092,ALX1
80345,ZSCAN16
57593,EBF4
1602,DACH1
2627,GATA6
57616,TSHZ3
1053,CEBPE
9760,TOX
83595,SOX7
346171,ZFP57
80108,ZFP2
27288,RBMXL2
5079,PAX5
3131,HLF
3227,HOXC11
132625,ZFP42
57677,ZFP14
22809,ATF5
50804,MYEF2
4093,SMAD9
342926,ZNF677
11278,KLF12
221833,SP8
286380,FOXD4L3
9580,SOX13
2626,GATA4
349334,FOXD4L4
4086,SMAD1
128553,TSHZ2
1406,CRX
6095,RORA
84627,ZNF469
9915,ARNT2
63976,PRDM16
4261,CIITA
7634,ZNF80
7596,ZNF45
4855,NOTCH4
7593,MZF1
196,AHR
27063,ANKRD1
26287,ANKRD2
118932,ANKRD22
91074,ANKRD30A
170302,ARX
136371,ASB10
140456,ASB11
56676,ASCL3
474,ATOH1
56751,BARHL1
343472,BARHL2
8538,BARX2
64919,BCL11B
79365,BHLHE41
646,BNC1
51027,BOLA1
140893,C20orf151
1044,CDX1
1045,CDX2
1046,CDX4
11189,CELF3
204219,CERS3
8048,CSRP3
55802,DCP1A
1747,DLX3
1749,DLX5
1750,DLX6
1761,DMRT1
63951,DMRTA1
63946,DMRTC2
8110,DPF3
1840,DTX1
1879,EBF1
64641,EBF2
2001,ELF5
8178,ELL
2018,EMX2
8320,EOMES
80712,ESX1
344018,FIGLA
2313,FLI1
27023,FOXB1
2296,FOXC1
2303,FOXC2
2304,FOXE1
2301,FOXE3
2294,FOXF1
2295,FOXF2
2299,FOXI1
2302,FOXJ1
2300,FOXL1
8456,FOXN1
121643,FOXN4
94234,FOXQ1
2307,FOXS1
2625,GATA3
8521,GCM1
9247,GCM2
145258,GSC
2928,GSC2
219409,GSX1
170825,GSX2
3005,H1F0
9421,HAND1
23493,HEY2
128872,HMGB3P1
127540,HMGB4
3166,HMX1
3174,HNF4G
3207,HOXA11
3209,HOXA13
3199,HOXA2
3200,HOXA3
3201,HOXA4
3202,HOXA5
3203,HOXA6
3204,HOXA7
3211,HOXB1
10481,HOXB13
3231,HOXD1
3236,HOXD10
3237,HOXD11
3239,HOXD13
3233,HOXD4
3235,HOXD9
55806,HR
3400,ID4
3642,INSM1
84684,INSM2
3662,IRF4
3394,IRF8
79192,IRX1
153572,IRX2
79191,IRX3
50805,IRX4
3670,ISL1
8629,JRK
30818,KCNIP3
202559,KHDRBS2
136259,KLF14
10660,LBX1
3975,LHX1
9355,LHX2
64211,LHX5
4004,LMO1
55885,LMO3
4009,LMX1A
4010,LMX1B
11178,LZTS1
9935,MAFB
85509,MBD3L1
4213,MEIS3P1
4223,MEOX2
83881,MIXL1
4300,MLLT3
10934,MORF4
4488,MSX2
4613,MYCN
4617,MYF5
4618,MYF6
4654,MYOD1
4656,MYOG
79923,NANOG
360030,NANOGNB
4674,NAP1L2
4675,NAP1L3
4760,NEUROD1
4761,NEUROD2
58158,NEUROD4
63974,NEUROD6
4762,NEUROG1
63973,NEUROG2
50674,NEUROG3
7080,NKX2-1
4821,NKX2-2
159296,NKX2-3
4824,NKX3-1
4825,NKX6-1
84504,NKX6-2
157848,NKX6-3
8431,NR0B2
9971,NR1H4
8856,NR1I2
10002,NR2E3
7025,NR2F1
116448,OLIG1
167826,OLIG3
3175,ONECUT1
5015,OTX2
5017,OVOL1
58495,OVOL2
56903,PAPOLB
5074,PAWR
3651,PDX1
5178,PEG3
401,PHOX2A
8929,PHOX2B
5309,PITX3
63876,PKNOX2
5387,PMS2P3
5449,POU1F1
5450,POU2AF1
25833,POU2F3
5453,POU3F1
5455,POU3F3
5456,POU3F4
5458,POU4F2
5459,POU4F3
5462,POU5F1B
10891,PPARGC1A
59336,PRDM13
93166,PRDM6
56978,PRDM8
5626,PROP1
51450,PRRX2
256297,PTF1A
26108,PYGO1
84839,RAX2
5992,RFX4
222546,RFX6
158800,RHOXF1
6096,RORB
6097,RORC
862,RUNX1T1
6258,RXRG
6299,SALL1
57167,SALL4
54581,SCAND2
6492,SIM1
10736,SIX2
6496,SIX3
4990,SIX6
6591,SNAI2
6656,SOX1
6664,SOX11
8403,SOX14
64321,SOX17
6657,SOX2
6658,SOX3
30812,SOX8
6662,SOX9
121340,SP7
25803,SPDEF
121599,SPIC
84654,SPZ1
10929,SRSF8
6736,SRY
9705,ST18
6909,TBX2
30009,TBX21
50945,TBX22
9496,TBX4
6910,TBX5
51224,TCEB3B
162699,TCEB3C
6943,TCF21
83741,TFAP2D
90316,TGIF2LX
90655,TGIF2LY
30012,TLX3
27324,TOX3
11074,TRIM31
117581,TWIST2
25806,VAX2
9084,VCY
245806,VGLL2
338917,VSX2
51087,YBX2
7704,ZBTB16
27033,ZBTB32
29800,ZDHHC1
140612,ZFP28
22882,ZHX2
7545,ZIC1
114026,ZIM3
163071,ZNF114
7691,ZNF132
7694,ZNF135
7696,ZNF137P
7700,ZNF141
7712,ZNF157
7577,ZNF29P
167465,ZNF366
84911,ZNF382
342908,ZNF404
23090,ZNF423
285676,ZNF454
57573,ZNF471
90827,ZNF479
80032,ZNF556
152687,ZNF595
162963,ZNF610
168417,ZNF679
84891,ZSCAN10
201516,ZSCAN4
1915,EEF1A1
8721,EDF1
3150,HMGN1
3608,ILF2
4869,NPM1
2623,GATA1
6428,SRSF3
4150,MAZ
6430,SRSF5
6923,TCEB2
3066,HDAC2
4609,MYC
142,PARP1
6628,SNRPB
3159,HMGA1
5928,RBBP4
51082,POLR1D
23435,TARDBP
3397,ID1
2958,GTF2A2
10084,PQBP1
5987,TRIM27
8607,RUVBL1
4172,MCM3
10474,TADA3
140690,CTCFL
7494,XBP1
3609,ILF3
8031,NCOA4
6757,SSX2
4602,MYB
9802,DAZAP2
10113,PREB
11137,PWP1
9328,GTF3C5
8880,FUBP1
3190,HNRNPK
3661,IRF3
6882,TAF11
9406,ZRANB2
116988,AGAP3
8725,URI1
8535,CBX4
7536,SF1
10432,RBM14
27316,RBMX
84365,MKI67IP
8726,EED
5435,POLR2F
8427,ZNF282
10147,SUGP2
10214,SSX3
22877,MLXIP
2547,XRCC6
10772,SRSF10
11168,PSIP1
10514,MYBBP1A
112950,MED8
865,CBFB
10623,POLR3C
5888,RAD51
246721,POLR2J2
51042,ZNF593
2101,ESRRA
4302,MLLT6
55502,HES6
8216,LZTR1
9324,HMGN3
4775,NFATC3
10625,IVNS1ABP
2002,ELK1
11129,CLASRP
51008,ASCC1
1106,CHD2
11017,SNRNP27
9477,MED20
23030,KDM4B
6773,STAT2
8061,FOSL1
5469,MED1
7709,ZBTB17
57862,ZNF410
9330,GTF3C3
9988,DMTF1
57794,SUGP1
79813,EHMT1
5252,PHF1
23648,SSBP3
2068,ERCC2
54880,BCOR
1316,KLF6
10001,MED6
8028,MLLT10
1386,ATF2
54014,BRWD1
4149,MAX
4091,SMAD6
84678,KDM2B
10025,MED16
84295,PHF6
4665,NAB2
57649,PHF12
7029,TFDP2
23408,SIRT5
2140,EYA3
55608,ANKRD10
8227,AKAP17A
4793,NFKBIB
7553,ZNF7
2103,ESRRB
54737,MPHOSPH8
57326,PBXIP1
7067,THRA
84124,ZNF394
1876,E2F6
10902,BRD8
5467,PPARD
140459,ASB6
168544,ZNF467
27107,ZBTB11
57492,ARID1B
9757,MLL4
201514,ZNF584
148327,CREB3L4
1745,DLX1
7625,ZNF74
6257,RXRB
7089,TLE2
4799,NFX1
54556,ING3
4849,CNOT3
94104,GCFC1
7764,ZNF217
9282,MED14
6297,SALL2
10308,ZNF267
5933,RBL1
10320,IKZF1
64210,MMS19
2972,BRF1
29844,TFPT
10838,ZNF275
4152,MBD1
4999,ORC2
10943,MSL3
57116,ZNF695
171023,ASXL1
26036,ZNF451
8572,PDLIM4
5371,PML
90321,ZNF766
8932,MBD2
79960,PHF17
3091,HIF1A
55892,MYNN
8464,SUPT3H
9611,NCOR1
10732,TCFL5
27097,TAF5L
11064,CNTRL
152518,NFXL1
79618,HMBOX1
57693,ZNF317
4212,MEIS2
6871,TADA2A
54904,WHSC1L1
6759,SSX4
9569,GTF2IRD1
1390,CREM
4782,NFIC
54856,GON4L
83463,MXD3
2117,ETV3
8994,LIMD1
7994,KAT6A
27300,ZNF544
6875,TAF4B
9819,TSC22D2
4850,CNOT4
11083,DIDO1
4089,SMAD4
221037,JMJD1C
51385,ZNF589
10217,CTDSPL
55869,HDAC8
54925,ZNF434
148203,ZNF738
22890,ZBTB1
26959,HBP1
79175,ZNF343
6942,TCF20
9439,MED23
51085,MLXIPL
2074,ERCC6
133522,PPARGC1B
84289,ING5
1746,DLX2
2908,NR3C1
51176,LEF1
8848,TSC22D1
23102,TBC1D2B
10973,ASCC3
8087,FXR1
9063,PIAS2
2976,GTF3C2
7727,ZNF174
55689,YEATS2
51147,ING4
5187,PER1
55810,FOXJ2
5610,EIF2AK2
25771,TBC1D22A
2332,FMR1
7181,NR2C1
10795,ZNF268
64864,RFX7
23338,PHF15
124401,ANKS3
8648,NCOA1
55814,BDP1
9534,ZNF254
4487,MSX1
23081,KDM4C
3213,HOXB3
23774,BRD1
25788,RAD54B
10389,SCML2
10743,RAI1
4194,MDM4
254251,LCORL
8863,PER3
2120,ETV6
90338,ZNF160
2005,ELK4
54807,ZNF586
55552,ZNF823
10745,PHTF1
51710,ZNF44
9150,CTDP1
7678,ZNF124
4773,NFATC2
257218,SHPRH
23543,RBFOX2
57169,ZNFX1
84307,ZNF397
57591,MKL1
121536,AEBP2
79862,ZNF669
91975,ZNF300
7750,ZMYM2
5927,KDM5A
7584,ZNF35
1788,DNMT3A
23598,PATZ1
7289,TULP3
7769,ZNF226
27086,FOXP1
22992,KDM2A
284443,ZNF493
7468,WHSC1
28996,HIPK2
6932,TCF7
56995,TULP4
1643,DDB2
7571,ZNF23
26468,LHX6
51684,SUFU
338699,ANKRD42
9014,TAF1B
84449,ZNF333
10771,ZMYND11
169841,ZNF169
4772,NFATC1
4861,NPAS1
9678,PHF14
55634,ZNF673
163081,ZNF567
7697,ZNF138
55628,ZNF407
546,ATRX
2100,ESR2
54993,ZSCAN2
4774,NFIA
203523,ZNF449
7849,PAX8
51533,PHF7
5991,RFX3
1382,CRABP2
162239,ZFP1
10361,NPM2
57335,ZNF286A
4784,NFIX
11262,SP140
341405,ANKRD33
9734,HDAC9
84614,ZBTB37
7161,TP73
406,ARNTL
3172,HNF4A
147923,ZNF420
5890,RAD51B
58500,ZNF250
6934,TCF7L2
286749,STON1-GTF2A1L
347344,ZNF81
55888,ZNF167
54897,CASZ1
4781,NFIB
7775,ZNF232
7157,TP53
7639,ZNF85
89870,TRIM15
284695,ZNF326
85409,NKD2
6920,TCEA3
140462,ASB9
92565,FANK1
4776,NFATC4
6493,SIM2
3195,TLX1
5087,PBX1
84174,SLA2
147657,ZNF480
5090,PBX3
56956,LHX9
158866,ZDHHC15
90853,SPOCD1
5452,POU2F2
26040,SETBP1
4306,NR3C2
27254,CSDC2
8091,HMGA2
9214,FAIM3
26038,CHD5
158399,ZNF483
54626,HES2
9970,NR1I3
2099,ESR1
84969,TOX2
11105,PRDM7
326,AIRE
79998,ANKRD53
367,AR
51666,ASB4
53335,BCL11A
84699,CREB3L3
117154,DACH2
22982,DIP2C
10655,DMRT2
253738,EBF3
2016,EMX1
2078,ERG
51513,ETV7
2128,EVX1
2070,EYA4
64344,HIF3A
6928,HNF1B
84525,HOPX
3198,HOXA1
3205,HOXA9
3238,HOXD12
86614,HSFY1
11279,KLF8
91133,L3MBTL4
9079,LDB2
4094,MAF
4222,MEOX1
93649,MYOCD
4661,MYT1
23040,MYT1L
1482,NKX2-5
64067,NPAS3
190,NR0B1
8013,NR4A3
5075,PAX1
5078,PAX4
5081,PAX7
5308,PITX2
11107,PRDM5
5396,PRRX1
30062,RAX
11317,RBPJL
23541,SEC14L2
6473,SHOX
150572,SMYD1
11063,SOX30
6899,TBX1
22797,TFEC
7088,TLE1
11023,VAX1
30813,VSX1
7547,ZIC3
58499,ZNF462
284312,ZSCAN1
4904,YBX1
5757,PTMA
27044,SND1
6776,STAT5A
4841,NONO
26147,PHF19
6427,SRSF2
57761,TRIB3
3065,HDAC1
29956,CERS2
11335,CBX3
55629,PNRC2
7520,XRCC5
6777,STAT5B
328,APEX1
6741,SSB
6721,SREBF2
4171,MCM2
25,ABL1
10456,HAX1
9519,TBPL1
4174,MCM5
5931,RBBP7
5437,POLR2H
7756,ZNF207
2624,GATA2
81628,TSC22D4
9967,THRAP3
5431,POLR2B
9111,NMI
7155,TOP2B
1388,ATF6B
7205,TRIP6
51586,MED15
7027,TFDP1
25793,FBXO7
4676,NAP1L4
27336,HTATSF1
51564,HDAC7
1499,CTNNB1
2130,EWSR1
27000,DNAJC2
7936,RDBP
6878,TAF6
2968,GTF2H4
9533,POLR1C
6598,SMARCB1
6720,SREBF1
648,BMI1
